Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
877622R,NJ,PAS,2021-03-15,01:15P,OBSTRUCTING DRIVEWAY,95.0,114.0,Q
AJ42380,AZ,PAS,2021-02-26,09:50A,FIRE HYDRANT,115.0,108.0,Q
ALR6752,NY,PAS,2021-03-16,02:11P,NON-COMPLIANCE W/ POSTED SIGN,60.0,108.0,
GVK1044,NY,PAS,2021-02-16,10:49A,OBSTRUCTING DRIVEWAY,95.0,104.0,Q
GWK5696,NY,PAS,2021-02-22,10:54P,NO STANDING-DAY/TIME LIMITS,115.0,104.0,Q
HSZ6617,NY,PAS,2021-01-21,09:38A,NO PARKING-STREET CLEANING,0.0,78.0,K
EXG4619,NY,PAS,2021-03-10,09:05A,INSP. STICKER-EXPIRED/MISSING,65.0,109.0,Q
EXG4619,NY,PAS,2021-03-10,09:07A,OBSTRUCTING DRIVEWAY,95.0,109.0,Q
HXX7977,NY,PAS,2021-03-07,08:00A,FIRE HYDRANT,0.0,104.0,Q
DZUH60,FL,PAS,2021-05-05,02:09P,FIRE HYDRANT,115.0,120.0,R
FXH5038,NY,PAS,2021-02-17,08:02P,REG. STICKER-EXPIRED/MISSING,0.0,104.0,
16792MD,NY,COM,2021-03-02,10:33P,NGHT PKG ON RESID STR-COMM VEH,0.0,104.0,Q
G35KXF,NJ,PAS,2021-01-22,01:59P,FIRE HYDRANT,115.0,109.0,Q
GKY3657,NY,PAS,2021-03-07,03:16P,OBSTRUCTING DRIVEWAY,95.0,109.0,Q
80321MM,NY,COM,2021-02-25,01:33P,DOUBLE PARKING,35.0,34.0,NY
KES6438,NY,PAS,2021-02-27,08:48P,DOUBLE PARKING,115.0,34.0,NY
55027MB,NY,COM,2021-02-24,07:05P,DOUBLE PARKING,35.0,34.0,NY
87627MK,NY,COM,2021-03-02,09:01A,DOUBLE PARKING,35.0,34.0,NY
62416MB,NY,COM,2021-03-06,08:14A,DOUBLE PARKING,35.0,34.0,NY
93317MC,NY,COM,2021-02-25,10:50A,DOUBLE PARKING,35.0,34.0,NY
KEW2002,NY,PAS,2021-02-21,08:59A,PEDESTRIAN RAMP,165.0,63.0,K
JDX5548,NY,PAS,2021-02-21,07:14P,FIRE HYDRANT,115.0,63.0,K
KHJ3808,NY,PAS,2021-03-09,09:17A,NO PARKING-STREET CLEANING,65.0,68.0,K
DYC2193,NY,PAS,2021-03-16,08:47A,NO PARKING-STREET CLEANING,65.0,68.0,K
J56LYD,NJ,PAS,2021-03-17,07:41A,NO PARKING-STREET CLEANING,65.0,66.0,K
885139R,NJ,PAS,2021-02-25,08:57A,NO PARKING-STREET CLEANING,65.0,70.0,K
KVJC10,FL,PAS,2021-03-09,11:57A,NO PARKING-STREET CLEANING,65.0,72.0,K
JRU2785,NY,PAS,2021-02-23,07:43A,NO PARKING-STREET CLEANING,65.0,61.0,K
GKU3186,NY,PAS,2021-02-22,10:08A,NO PARKING-STREET CLEANING,65.0,61.0,K
DZMM78,FL,PAS,2021-01-27,08:05A,NO PARKING-STREET CLEANING,65.0,69.0,K
84550MC,NY,COM,2021-01-27,09:08A,FAIL TO DISP. MUNI METER RECPT,0.0,13.0,NY
GDM8662,NY,PAS,2021-02-25,09:48A,NO PARKING-STREET CLEANING,65.0,70.0,K
FBB5118,NY,PAS,2021-02-25,12:57A,NO PARKING-STREET CLEANING,65.0,76.0,K
JCM2086,NY,PAS,2021-03-11,12:03P,NO PARKING-STREET CLEANING,65.0,68.0,K
GWR3087,NY,PAS,2021-01-30,07:50A,NO PARKING-STREET CLEANING,65.0,78.0,K
JKX8980,NY,PAS,2021-01-08,10:20A,NO PARKING-STREET CLEANING,0.0,90.0,K
FCH7275,NY,PAS,2021-01-21,09:55A,FRONT OR BACK PLATE MISSING,0.0,88.0,K
74826MM,NY,COM,2021-02-17,12:13A,NGHT PKG ON RESID STR-COMM VEH,65.0,60.0,K
